user_id,timestamp,activity_type,direction,peer_number,duration_sec,location,device_imei,sim_imsi,network_type,data_used_mb,is_roaming,is_spam_or_fraud
U001,2025-07-02 03:19:00,call,incoming,94XXXX5012,233,Bangalore,123456789012345,899110123456789,4G,0.0,no,0
U001,2025-07-02 08:32:00,call,incoming,91XXXX4582,243,Mumbai,123456789012345,899110123456789,5G,0.0,yes,0
U001,2025-07-01 07:05:00,sms,incoming,92XXXX7924,0,Pune,990011223344556,899110123456789,4G,0.0,no,0
U001,2025-07-05 05:18:00,call,incoming,96XXXX2584,372,Pune,123456789012345,899110999999999,4G,0.0,no,0
U001,2025-07-04 14:04:00,sms,incoming,98XXXX5803,0,Pune,123456789012345,899110123456789,4G,0.0,yes,0
U001,2025-07-04 15:09:00,sms,incoming,93XXXX2654,0,Kolkata,990011223344556,899110999999999,5G,0.0,yes,1
U001,2025-07-30 11:49:00,sms,incoming,91XXXX3803,0,Hyderabad,356789123456789,899110999999999,5G,0.0,no,0
U001,2025-07-15 18:12:00,call,incoming,90XXXX4752,37,Pune,990011223344556,899110999999999,4G,0.0,yes,0
U001,2025-07-10 16:14:00,sms,incoming,97XXXX7482,0,Ahmedabad,356789123456789,899110999999999,4G,0.0,yes,0
U001,2025-07-27 14:31:00,sms,incoming,96XXXX7543,0,Pune,356789123456789,899110123456789,5G,0.0,yes,0
U001,2025-07-07 22:56:00,call,incoming,92XXXX7916,70,Kolkata,990011223344556,899110888888888,5G,0.0,no,0
U001,2025-07-06 05:07:00,call,incoming,98XXXX5371,353,Delhi,990011223344556,899110999999999,4G,0.0,no,1
U001,2025-07-23 18:46:00,sms,incoming,92XXXX9317,0,Delhi,123456789012345,899110999999999,4G,0.0,yes,1
U001,2025-07-28 06:12:00,call,incoming,95XXXX9005,24,Delhi,990011223344556,899110999999999,4G,0.0,yes,0
U001,2025-07-04 21:33:00,call,incoming,97XXXX2133,550,Bangalore,356789123456789,899110888888888,5G,0.0,yes,0
U001,2025-07-10 15:20:00,sms,incoming,98XXXX4295,0,Chennai,990011223344556,899110888888888,5G,0.0,no,0
U001,2025-07-06 12:10:00,sms,incoming,93XXXX4681,0,Delhi,990011223344556,899110123456789,4G,0.0,yes,1
U001,2025-07-11 10:03:00,call,incoming,91XXXX1514,343,Delhi,123456789012345,899110123456789,5G,0.0,no,0
U001,2025-07-25 12:59:00,call,incoming,92XXXX8744,253,Ahmedabad,990011223344556,899110123456789,4G,0.0,yes,0
U001,2025-07-20 06:39:00,sms,incoming,96XXXX8651,0,Mumbai,123456789012345,899110888888888,4G,0.0,yes,0
U001,2025-07-12 07:35:00,call,incoming,93XXXX4116,554,Ahmedabad,356789123456789,899110999999999,4G,0.0,no,0
U001,2025-07-12 08:51:00,sms,incoming,91XXXX8260,0,Delhi,356789123456789,899110888888888,4G,0.0,yes,0
